概念,好きな,陽気な,人気な,静的な,怖くない,物語性のある,キャラクター性のある,長時間な,大人向けな,落ち着いた
カリブの海賊,4,4,4,3,3,3,3,3,3,3
ジャングルクルーズ,3,4,3,3,3,1,2,3,3,3
ウエスタンリバー鉄道,3,3,3,3,4,1,1,2,3,4
ビックサンダーマウンテン,4,4,4,1,1,1,1,2,3,1
スプラッシュマウンテン,4,4,4,1,1,4,4,3,3,2
ピーターパン,4,4,4,3,4,4,4,2,1,4
白雪姫,2,1,1,4,1,4,4,2,3,2
フィルハーマジック,4,4,4,3,4,4,4,4,3,4
ピノキオ,3,3,3,3,4,4,4,2,1,3
ダンボ,3,4,4,2,4,1,4,2,1,3
キャッスルカルーセル,2,3,2,3,4,1,2,2,1,3
ホーンテッドマンション,4,1,4,4,1,4,3,3,4,2
イッツアスモールワールド,4,4,2,4,4,3,3,3,1,4
アリスのティーパーティー,3,3,2,2,2,1,4,2,2,1
ハニーハント,3,4,4,2,3,4,4,2,1,2
カートゥーンスピン,3,3,3,2,3,3,3,2,2,2
ガジェットのゴーコースター,2,3,2,2,3,1,3,1,1,1
モンスターズインク,2,3,2,3,4,3,4,2,1,2
スターツアーズ,3,3,2,2,2,4,4,3,3,2
スペースマウンテン,4,4,4,1,1,1,1,3,3,1
バズライトイヤー,4,4,4,2,4,3,4,3,2,1
キャプテンEO,1,3,3,4,3,4,3,4,4,4
スタージェット,3,3,3,2,3,1,1,2,2,3
ミッキーの家,3,4,4,4,4,2,4,2,1,3
ミニーの家,3,4,4,4,4,2,4,2,1,3
シンデレラ城,4,2,3,3,3,4,4,4,3,4
ミッキーマウスレビュー,4,4,3,4,4,4,4,3,1,4
カントリーベアシアター,2,4,2,4,4,4,4,4,1,4
グランドサーキット,2,3,3,1,2,1,1,3,3,1
蒸気船,3,4,4,3,4,1,1,3,3,4
トムソーヤ島,2,3,3,3,4,2,2,3,1,2
ミクロアドベンチャー,4,3,3,3,4,4,3,3,2,3
タワーオブテラー,4,1,4,1,1,4,3,2,3,1
エレクトリックレールウェイ,4,4,3,3,4,1,1,2,3,4
タートルトーク,4,4,4,4,4,3,4,3,2,3
ストームライダー,4,3,4,2,2,4,2,3,4,2
アクアトピア,4,3,3,2,3,1,1,2,1,4
インディージョーンズ,4,3,4,1,2,4,4,2,3,1
レイジングスピリッツ,2,3,4,1,2,1,1,1,3,1
マジックランプシアター,4,4,3,4,3,4,4,4,2,4
キャラバンカルーセル,4,4,3,3,4,1,3,2,1,4
シンドバッドストーリーブックヴォヤッジ,1,3,1,4,4,3,3,2,2,3
フランダーのフライングフィッシュコースター,2,4,2,2,2,1,4,1,1,1
マーメイドラグーンシアター,4,4,4,4,4,4,4,4,2,4
ジェリーフィッシュ,3,3,3,2,4,1,3,1,1,3
バルーンレース,2,3,3,2,4,1,3,1,1,3
センターオブジアース,4,2,4,1,1,3,1,2,4,1
海底2万マイル,1,2,1,4,3,3,1,2,4,3
ビッグバンドビート,4,4,4,4,4,3,4,4,4,4
ゴンドラ,3,3,4,3,4,1,1,3,3,4
