道具名,大きい,人道的な,実用的な,実現可能な,簡単な,平和な,格好良い,前向きな,広範的な,有名な
悪魔のパスポート,1,1,4,1,4,1,4,1,2,2
石ころぼうし,1,4,3,1,4,2,2,1,1,2
ウソ800,1,3,4,1,4,2,3,1,3,3
絵本入りこみ靴,2,4,3,1,4,3,3,4,1,1
おざしきつり堀,3,4,3,2,4,4,1,4,1,2
かべ紙ハウス,4,4,4,1,4,4,4,4,1,2
着せかえカメラ,1,3,4,1,4,4,2,4,2,2
雲かためガス,1,4,3,1,4,4,3,4,3,1
原子おはじき,2,4,1,3,4,4,1,3,1,1
コンピューターペンシル,1,2,4,3,4,4,4,3,1,3
さいみん機,2,4,3,3,4,4,1,3,2,1
重力ペンキ,2,4,4,1,4,4,1,4,2,2
刷りこみたまご,4,1,2,1,2,2,1,3,2,2
ぜったい安全がさ,2,4,4,1,4,4,3,2,1,1
空飛ぶうす手じゅうたん,3,4,1,3,1,4,3,3,1,1
タイムマシン,4,3,4,2,3,2,4,3,1,4
地球はかいばくだん,2,1,1,4,2,1,3,1,4,3
つけかえ手ぶくろ,1,1,1,1,2,2,1,2,2,2
デンデンハウス,4,4,4,2,4,4,3,1,1,1
どこでもドア,3,4,4,2,4,4,3,3,1,4
ナゲーなげなわ,2,4,4,3,4,4,1,3,1,1
ニクメナイン,1,1,4,1,4,2,1,1,2,1
ぬけ穴ボールペン,1,3,1,1,4,3,2,2,1,1
ねん力目薬,1,3,2,1,2,3,3,3,1,1
のろいのカメラ,1,1,1,1,4,1,2,1,2,1
初日の出セット,2,4,1,2,4,4,1,3,1,1
ひものゆうれい,2,2,1,3,4,2,1,2,1,1
分身ハンマー,1,2,3,1,3,4,1,2,1,2
ペタンコアイロン,1,3,4,1,4,4,1,3,1,2
ほんやくコンニャク,1,4,4,3,4,4,2,4,2,4
魔法事典,1,2,3,1,1,1,3,3,4,1
ミニドラえもん,2,4,4,3,3,4,3,4,1,4
虫の声の素,1,4,1,1,3,4,1,4,2,1
めんくいカメラ,1,2,1,2,4,4,1,3,2,1
桃太郎印のきびだんご,1,2,3,1,3,4,3,4,2,4
ヤメラレン,1,1,3,1,4,3,1,2,2,1
ユメ完結チップ,1,2,1,1,4,2,1,3,3,1
四次元ポケット,1,4,4,2,4,4,3,4,1,4
らくがき銃,3,1,2,3,4,2,2,2,2,1
立体コピー紙,3,2,4,1,4,4,2,4,2,1
ルームスイマー,3,4,2,2,4,4,1,4,1,2
レプリコッコ,2,2,4,2,4,3,1,2,1,1
ロケットストロー,1,3,2,1,2,4,3,4,1,1
わすれ鳥,2,4,2,3,4,4,1,2,1,1
